month,year,mean,ERA5,PERSIANN,Rainfall
6,1999,315.9008207,374.6932745,426.2602159,185
7,1999,528.2250366,415.1583314,505.1656342,420
8,1999,354.4371481,302.1481037,342.5313296,371
9,1999,348.638978,240.6124473,395.4657989,374
10,1999,262.7245445,190.0039911,254.2494125,160
11,1999,6.802708745,5.343561061,29.70615005,14
12,1999,1.848354772,0.01621712,0,0
1,2000,4.493862301,12.2875059,6.778287888,4
2,2000,16.61480427,26.91056207,44.63420868,16
3,2000,24.96216488,14.93253652,36.02174306,18
4,2000,114.7016521,131.1248243,224.8453888,100
5,2000,344.9288278,225.9026021,436.3602641,145
6,2000,298.1371355,298.5889912,340.5869665,217
7,2000,283.8002826,510.5698705,281.3033354,410
8,2000,310.3923092,254.8829913,395.2696002,294
9,2000,189.7518901,285.43818,323.4638394,336
10,2000,116.0517175,158.1332535,190.3076549,216
11,2000,10.21175289,3.516620025,22.57971281,0
12,2000,2.017997503,0,0,0
1,2001,3.221381277,0.587999821,0,0
2,2001,24.4097302,18.78794096,30.38392925,64
3,2001,55.23753023,44.13707927,31.92938173,21
4,2001,63.47120333,74.77173954,79.83537996,51
5,2001,324.9698696,565.3785467,387.5490639,244
6,2001,435.4734831,392.5864398,488.7849844,355
7,2001,245.1721525,303.7468791,356.8663386,272
8,2001,323.6654282,215.1777744,244.3782525,188
9,2001,117.9854832,225.073427,200.1937735,207
10,2001,243.6815087,159.1674984,239.5104611,196
11,2001,21.30108023,48.31812158,41.39347279,31
12,2001,3.487608612,0.005969778,0.180653512,0
1,2002,6.624339312,24.37588014,32.87115383,15
2,2002,6.813048482,2.225624397,8.478113592,0
3,2002,31.1366787,78.75567675,51.34365845,14
4,2002,75.53313613,125.4967749,109.4999114,74
5,2002,207.171268,391.4948106,361.4864904,254
6,2002,477.4955215,527.2020102,600.324825,846
7,2002,483.2379341,369.5803583,478.5024641,360
8,2002,331.2814503,275.8255601,411.2330527,483
9,2002,209.1815281,230.0997525,350.2938198,357
10,2002,58.50026917,84.33458209,68.60730392,22
11,2002,33.45888978,121.4319766,81.32719308,169
12,2002,1.909571856,0.19810535,0.468436807,0
1,2003,3.353512645,1.379419118,0.905398846,0
2,2003,7.671604335,12.31200714,4.821669817,0
3,2003,100.0537069,70.61118633,89.50837219,155
4,2003,63.58807206,172.2675115,93.73154199,63
5,2003,175.5527787,98.49259257,158.5204712,125
6,2003,412.2464027,414.157629,569.9037621,251
7,2003,301.382566,248.4247833,356.123696,287
8,2003,205.8052859,223.2789844,192.827744,255
9,2003,156.8644743,220.0951874,227.1021123,145
10,2003,202.9701877,161.184907,345.6742976,315
11,2003,4.203853667,1.049581915,0,0
12,2003,9.017145634,41.02642834,23.92286873,22
1,2004,2.973933905,5.624722689,6.160862446,0
2,2004,4.410280466,0.04163757,0,0
3,2004,29.73879123,8.903225884,28.19565648,7
4,2004,133.7631991,247.3818809,152.1032866,85
5,2004,95.15237761,129.1376352,159.4711915,180
6,2004,431.7957134,407.9473019,460.0649941,383
7,2004,332.2827358,311.8801117,439.027364,253
8,2004,248.4842968,326.8253207,273.6160168,266
9,2004,337.6991377,413.1103158,537.9592009,621
10,2004,190.9020172,132.6599717,226.485758,183
